name,lat,lng,confidence,river,notes
Pikinpada,4.780,-55.505,medium,Upper Suriname River,Position estimated from VSG map; ~10km south of reservoir edge
Bekiokondre,4.730,-55.522,low,Upper Suriname River,Position estimated from VSG map and Wikipedia village sequence
Gingiston,4.680,-55.540,low,Upper Suriname River,Position estimated from VSG map; between Bekiokondre and Kaajapati
Salubanga,4.485,-55.713,low,Upper Suriname River,Position estimated near Kaajapati from Wikipedia list and VSG map
Kambalua,4.378,-55.752,medium,Upper Suriname River,Between Botopasi and Jawjaw; confirmed by travel account and Medische Zending
Koonoo,4.365,-55.758,low,Upper Suriname River,Near Kambalua; Wikipedia Upper Suriname list
Masiakriki,4.392,-55.742,low,Upper Suriname River,Between Jawjaw and Gunsi; Wikipedia list; = Masabiiki on Price map p.37
Dan,4.310,-55.830,medium,Upper Suriname River,Named in Price p.37 map; travel accounts confirm village of Dan on Upper Suriname
Latanti,4.285,-55.850,low,Upper Suriname River,Price map p.37; between Dan and Botopasi
Malobi,4.262,-55.872,low,Upper Suriname River,Price map p.37; just north of Botopasi
Moitoii,3.968,-56.072,low,Gran Rio (Langu area),Price map p.37 Langu area inset; near Langu and Begoon
Ligorio,3.978,-56.070,low,Gran Rio (Langu area),Price map p.37 Langu area inset
Da Bo,3.998,-56.062,low,Gran Rio (Langu area),Price map p.37 Langu area inset; = Dabo
Godowista,4.008,-56.060,low,Gran Rio (Langu area),Price map p.37 Langu area inset
Bundytapa,3.960,-56.080,low,Gran Rio (Langu area),Price map p.37 Langu area inset; near Begoon/Langu
Pempe,4.120,-56.020,low,Gran Rio,Price map p.37 Gran Rio; near Semoisi. Woman Waifolo from Pempe composed the lament song (Price 2025)
Bofokule,4.020,-55.990,low,Gran Rio,Named after rapids; Price map p.37 Gran Rio near Pingpe
Saubasi,4.088,-55.573,low,Gran Rio,Price map p.37 Gran Rio
Akisamau,4.060,-55.580,low,Gran Rio,Price map p.37 Gran Rio
Rendakonde,4.045,-55.582,low,Gran Rio,Price map p.37 Gran Rio
Shindoopo,3.720,-56.140,low,Gran Rio,"Price map p.37 Gran Rio, Matjau clan"
